Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.42839143,84.85617597,86.63967611,82.53099927,79.63770547,79.94915381,74.38601095,70.48791628,64.93455286,63.10635605,65.08040375,68.54787298,65.49127454,65.91290906,66.2606726,63.78633115,61.50244839,70.77206081,,,,,,
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,4.132233215,4.453443266,4.87805112,9.171601094,8.888892562,11.25827913,8.571428776,6.772908423,8.899676645,10.09463699,9.784002283,10.92234226,14.76323124,12.94871808,14.02061893,12.67605689,13.21739125,11.66290433,10.84175028,,,,,,,,,,,,,,,,,,,,,,,,32.38671874,43.55686929,33.99649426,27.39525556,26.47029266,17.82371427,17.99297469,14.70758895,10.02384975,6.107274005,5.516850325,6.307895036,6.567700049,7.002116918,6.89624956,
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,44.24729248,47.25984237,41.34461783,38.11324549,32.7635873,29.7650365,28.57142857,47.36842105,49.31972789,,,,,,,89.68583119,75.38894373,68.29094979,68.42473579,70.25029536,86.01863225,79.79625434,73.95818384,76.31842422,54.90768744,62.34598608,65.35271182,63.08922979,55.68874634,48.01637062,33.44838298,30.01703712,29.93561388
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.11558774,22.98264246,19.3750006,18.19660401,17.41308287,16.23554507,15.0575048,15.46629701,16.3822901,17.94015266,14.86944653,7.224579503,11.49043805,15.42252326,11.35168733,12.47537426,11.19576721,9.745654295,10.84430291,15.81673104,17.86708402,18.43157108,19.59887427,20.35591091,21.98293641,22.82407356,24.93399552,28.08422195,25.30240492,25.24073764,27.97947124,29.24150073,28.93748649,28.91635405,28.21297879,27.26738418,28.9234171,31.52204499
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,37.21505467,38.77490915,41.22114364,57.30739132,49.92830713,50.99645079,45.69558867,43.71612553,39.95276838,45.40176795,50.52530671,47.41510948,39.53030998,34.39465185,32.50813362,29.79857953,24.53271557,27.6784972,27.97097782,29.73778044,31.94267443,28.70106786,30.21825107,28.45897094,29.40452826,31.27164105,32.66877245,37.31737593,33.01550927,36.31102964,42.61348115,40.80909976,41.61362132,45.56353431,48.8468969,52.65122487,53.77223148,53.72657128,56.95851559,47.42137173,49.96216761,54.87848706,55.97677881,54.02157041,50.42761604,43.18035215,40.80073098,42.24586112
United Arab Emirates,ARE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.5677906,67.58543439,68.62783077,72.3840975,78.8678887,79.65331786,77.73799993,89.78180974,100.3223124,100.6315481,99.11504126,100.8704802,101.0030139,100.3838415
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.604049108,5.994946995,4.691842759,7.890454203,5.563715605,6.225874438,6.652917384,7.495596226,6.484453463,6.398713317,5.601566676,6.007232881,7.197765839,7.612667721,6.902570798,5.824051799,9.175388297,9.615892413,8.608389938,6.510915467,5.061972681,6.92104948,9.090493079,9.151520687,7.589895312,11.73609802,8.161977544,7.873205813,9.531612973,13.05840891,10.35953659,7.675043348,6.598187472,6.909351661,7.529909882,9.680494745,10.42854164,10.56079888,10.41551506,9.82715688,10.9863962,11.57913149,28.38265404,25.9309089,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.58383239,11.1787624
Armenia,ARM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00298151,40.74538838,39.82075502,47.21897587,39.32804015,23.92792146,23.24000279,20.27326989,19.00302051,20.75825992,23.37527851,25.46839091,29.35655104,32.15264501,29.73482889,28.80922032,23.35898587,19.18564395,15.0471035,15.47446868,20.83009472,23.75685346,27.56672188,28.3591265,28.5651387,29.72799648,33.14800495,38.05397169
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7782101,97.34345351,89.84375,99.00596421,99.7983871,97.11538462,113.8543517,78.17109145,63.19444444,58.36236934,74.8447205,71.29485179,66.25194401,64.79514416,65.04559271,
