Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.55648887,86.46362098,88.70445344,86.25091174,83.62965448,84.64204993,70.68686857,68.5340401,69.40044207,70.85372831,68.57283973,77.93313361,77.9736252,76.45039785,74.92661492,76.27657838,74.81634252,86.43635475,,,,,,
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.024793366,8.097166298,9.349593306,16.86391033,18.05555539,21.41280348,18.57142854,14.20982704,15.21035643,14.98422725,11.94410778,16.1407952,18.10584979,14.74359071,14.84536122,14.27230078,14.86956541,14.8231755,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,65.28770401,94.34417017,87.13932444,77.46714501,74.08505675,58.35004683,55.07254555,42.19922847,44.94347835,44.19394807,39.14239744,49.7577749,45.77387714,48.80161503,49.02497729,
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,44.24729248,47.25984237,41.34461783,38.11324549,32.7635873,29.7650365,28.57142857,50,50.68027211,69.37029937,,,,,,62.86127827,74.94685096,56.6689647,62.02893394,54.14485488,53.63880017,38.97826348,43.51562396,51.22654969,55.40868306,42.92122364,42.16296369,40.23420732,39.37986993,42.24559855,36.8784513,29.41716772,27.65083052
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,22.70948721,21.51496312,23.87753808,20.80901795,19.37734695,18.44986108,15.4675094,15.56251101,19.21801564,20.71837707,23.19633658,27.59180677,88.51224849,62.29254565,38.9503248,34.51204773,32.02443573,34.18999543,34.63703792,32.21301696,38.0533447,38.99879016,44.33536647,45.08471104,44.37488902,47.47122764,48.52105365,54.78820068,52.14930616,49.8541677,48.56400031,51.97704781,47.57268698,46.95742841,47.19485515,44.53363192,45.7458451,46.5535682
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,21.95793221,20.6759922,21.13820291,23.90349941,24.77846182,31.86266973,31.90913617,36.94601098,38.52418574,35.91490008,34.27401605,40.03003883,43.10845532,40.64592615,39.22482249,35.01049057,32.67862021,31.23765445,32.65710356,36.16258126,33.48609345,40.03089358,33.68155036,31.90367188,29.22984825,30.5573195,29.19339012,31.10075537,33.40564258,30.12713144,28.19643974,31.5421836,32.10266321,34.3386998,36.14718263,36.4237711,35.87506141,39.70669036,40.84390882,42.2700991,38.41116216,37.07323471,37.58123788,39.42492458,41.78908884,44.15163909,41.15825642,40.29223376
United Arab Emirates,ARE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96768961,50.84287191,64.41405537,69.64565532,73.8086265,63.57104198,62.01646036,64.8207001,64.90964423,68.93519241,74.35082733,75.74463412,72.42668542
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.604046979,5.994945316,9.383682891,7.890452033,5.563714075,4.150582972,4.989688034,4.997064147,5.403711423,6.398713317,4.735877405,6.607956034,6.837877358,5.70950079,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.483699779,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010811,8.132793114,9.313799872,10.60431557,10.09100624,11.07781653,12.77534581,12.93442929,11.55549991,11.63610614,10.27329136,13.37009726,14.71378084,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.53808142,13.83581647
Armenia,ARM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33273703,60.12046681,61.25600438,60.75417041,73.10079089,62.1869335,55.98955878,58.27447463,52.83943263,49.80215959,50.54328924,46.14880573,46.58686856,50.03500154,45.30238129,43.22970515,39.2502072,39.15081444,40.65575862,43.00440119,45.31719197,47.35401166,48.40002152,48.19706929,47.04654614,41.86526887,42.76987508,50.39951236
American Samoa,ASM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7548638,108.3491461,110.7421875,122.0675944,127.8225806,119.4230769,133.9253996,82.00589971,93.22916667,97.38675958,99.8447205,100,105.4432348,99.69650986,93.46504559,
Antigua and Barbuda,ATG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,44.91945181,49.44490383,63.8064023,72.58559481,80.46141432,89.91721667,64.35075523,70.78301769,77.70087561,101.0407703,89.90719289,71.19245646,77.23681508,74.1201701,74.29222861,77.40239282,74.46193389,71.58207379,76.0333569,73.74847369,70.27282757,67.30989797,69.08417701,60.04412275,60.76539269,58.24094026,62.49698949,64.41421566,66.78989745,70.73546534,71.09739211,69.58391494,57.70679027,58.91089871,56.15968447,57.94751064,60.42188661,58.00900369,49.11952636,47.02969952,
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.06174626,15.0250798,12.63092691,13.83405386,13.76449514,15.26734042,15.13022759,13.89349549,14.48559671,13.33414888,13.22132349,12.93668122,11.97355699,11.02040816,13.21672171,14.73552522,13.3837261,14.65382613,14.59391952,15.36041431,15.91264231,16.74435423,16.83374153,15.62741262,15.00902379,17.3096652,18.08614095,17.09401111,16.64474943,16.9791508,17.07036298,16.19172141,16.41893859,17.89461576,18.52141314,19.88466679,19.39313759,18.90000018,20.47485364,20.80216069,21.60415459,22.14891184,20.79122692,21.20985027,19.9365275,21.02931344,21.72580818,21.87698418,22.73909897,22.82647568,20.87386525,20.50509857,21.76810529,21.28586162,21.50408328,21.53442325,21.51844657,20.62261643
Austria,AUT,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,23.26193335,21.90190728,22.20171697,22.85788192,23.58618233,24.46902161,25.21686113,24.60428649,24.70470975,25.87725787,27.46863474,27.34511645,27.36535276,27.53745305,30.45336188,28.5044983,31.16375521,32.32363889,30.55289477,32.4364439,35.1319343,35.39588868,32.37561749,31.99398616,33.82398841,35.16184006,32.01688251,31.44751785,33.49162414,35.52315605,35.79095483,35.45791781,34.47489981,31.80115248,33.82855945,34.72346076,35.83439501,37.83960748,38.57612821,38.90310246,42.01422167,42.91910925,41.6287818,41.8169677,43.92513072,45.41405348,47.24664234,48.17238464,48.82482212,41.85481441,47.75763591,51.15411778,51.17850123,50.62512079,50.12952519,49.20451979,48.90517868,50.77138994
