Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000877822,0.001166588,0.000819402,0.001002505,0.000848353,0.000717946,0.000703182,0.000712081,0.000657312,0.000699945,0.000685563,0.000653321,0.000942156,0.000915666,0.000933343,0.000967649,0.002287412,0.001921868,,,,,,
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.285092593,0.344531632,0.397964352,0.768116118,0.911021741,1.332142618,1.33690192,1.178239976,1.123889239,1.157887144,1.349292249,1.059539318,,,,,,,,,,,,,,,,,,,,2.173796071,1.466625504,1.057641536,0.804814521,0.917628032,1.135741338,0.819964113,0.989360694,0.587531996,0.732845131,0.774811375,0.693464209,0.729280969,0.707998968,0.635338568,0.598007928,
Angola,AGO,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,21.34037906,11.81700474,24.0180909,24.17686229,25.66182095,36.16660526,18.27996253,46.14828786,42.58272999,52.57592666,51.10722177,47.61903348,42.93362292,25.88225122,49.40371636,61.18981305,45.70045726,38.48055207,36.70143072,45.24249466,59.93950202,54.16926946,51.30950059,58.03747818,28.18035671,39.0377541,44.51424761,41.57437211,34.90780976,27.52218789,11.27432141,13.2174938,
Albania,ALB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,17.68508443,17.16197129,7.310100422,9.297660919,10.15496544,11.44709738,10.77766696,9.132938439,10.61758379,3.177998189,1.665465926,1.303870372,1.264593666,1.31071361,0.265421007,0.511870807,1.050171936,0.699177295,0.737664886,0.726688251,0.574020756,0.958464491,1.4461517,2.073637405,1.668222513,0.965669513,2.0701085,3.550377114,3.723806167,3.759848871,3.675139605,1.834600541,1.973312654,
Andorra,AND,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arab World,ARB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.424337059,0.356374813,0.358558003,0.648987547,31.07357829,25.26883886,26.35953904,26.47802352,24.38227304,55.59037517,46.46910988,30.94882158,20.39782092,20.674268,20.37935373,18.2883972,10.09690433,14.10479635,13.08775046,20.12926912,21.26696233,17.24495581,18.01412972,17.18509401,15.41197167,16.33608537,18.92472141,16.05620803,9.643823827,13.85078464,23.22735954,18.77090753,18.24932363,21.44954794,26.89395693,34.31257754,34.77872008,31.82527423,36.7502498,22.83508042,27.64319922,34.71197523,33.29810866,30.69023785,27.45661578,16.06881312,18.76614576,
United Arab Emirates,ARE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,25.82948097,26.24366796,23.89668668,23.64585162,51.33956671,42.10683889,25.41808019,18.44100359,19.60176546,19.7486999,20.80842503,12.24270879,19.45972542,15.80561366,25.03034953,32.58735641,20.79035492,19.67087733,17.02985402,14.5718638,14.99955626,17.8092325,15.07211581,9.043109105,12.51033046,19.92349673,15.46431133,13.96488763,16.45784799,19.61802528,24.75007079,25.16113856,23.00170316,26.2528152,17.27553242,20.58080963,27.64474547,27.51167676,25.4626465,22.84644912,13.10596509,15.26792786,
Argentina,ARG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.111872862,0.114666757,0.134847853,0.16141334,1.231496633,1.638276704,1.912341829,1.671453871,1.676121788,4.721241465,5.787497392,4.655614172,2.491336432,2.90442268,3.490322504,2.927058277,0.952687081,1.485402319,1.203948893,3.089977448,2.307575662,0.989893408,0.958457989,0.946215448,0.862328553,1.06142593,1.434209144,1.233252219,0.630465132,1.123828193,2.109946548,1.712466167,4.876472914,4.302842798,4.461334612,5.453629605,5.924137993,4.915004426,5.05649634,2.875149415,3.137998333,3.693210614,3.468981118,2.968902123,2.869376587,1.18289411,1.302411594,
Armenia,ARM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.105580646,0.102695245,0.46853221,0.731845512,0.511192046,0.551488161,0.160954535,0.141426531,0.363153248,0.296621494,0.460033866,0.520582254,0.973893202,0.901248427,1.788808562,1.297041924,1.294546362,1.656626805,2.992090322,3.950328962,3.960753834,3.402426342,3.567221034,4.619544205,4.8265421,
American Samoa,ASM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
