Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2026071,,58.7168178,44.09037817,21.05995258,19.92689167,28.66650721,23.96787165,39.53054207,30.03548641,21.98389058,16.99868454
United Arab Emirates,ARE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.088773772,18.45719357,22.54868489,25.95277676,9.564831286,4.27882049,4.7923866,17.06703932,35.51213718,15.81558933,13.59741243,11.24903625
Argentina,ARG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.858145696,1.575157079,0.420915446,0.606030658,2.124838287,1.448768359,0.233931605,0.288112016,0.168976254,0.320259942,0.536561721,0.215640872,0.129587738,3.385498577,0.516813715,0.566506248,2.397580844,6.879105347,21.02060045,43.82691112,12.36421487,11.50230709,13.04608702,8.718719712,4.183854573,3.217983577,2.479374983,1.195826971,2.296088636,2.764185112,2.645590648,1.456841205,1.685038581,0.923115975,0.453659664,0.600714181,0.462934738,0.267799853,0.405291324,0.669273861,0.453942538,0.785916838,1.034014548
Armenia,ARM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,1.205385502,1.277471068,1.346048308,0.746348946,1.488954261,3.304701987,4.410084766,2.540525582,5.274302681,5.232269752,8.470484339,12.45264,30.41588943,17.37978792,14.54940953,12.92830932,14.03721716,12.94495054,21.4169342,30.90875969,26.74100597,36.21359252,34.56576356,38.99071092,51.18714631,51.37487369,63.60673223,73.75305497,90.42986762,89.05352702,88.45404383,115.2137533,161.1877494,79.77828468,90.82872236,98.87060706,80.93655972,58.67949189,50.06564474,48.02096866,55.64250594,65.80724168,61.14625846
Austria,AUT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.167252438,0.223463812,0.143561762,0.136981315,0.123347761,0.128322442,0.118675183,0.102560092,0.183857641,0.166800653,1.155450741,1.207235758,1.114397481,1.492169639,19.69077143,34.64506589,4.422392108,2.43879726,3.459480856,4.310285473,5.393670182,4.357580045,5.672992262,8.272884591,5.439200302,4.911468933,3.706176447,3.049656932,4.599164746,8.616592306,13.71254679,24.69361794,33.22306975,22.80700508,12.8718955,12.46223882,8.996994364,5.773838061,6.168325944,6.499255004,8.305621486,6.794392864,9.598490013
Azerbaijan,AZE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.87234922,0.924546133,0.744446712,0.710296524,0.903050673,0.605866906,0.590005107,1.117175013,1.500908445,1.721604247,2.549750964,3.979124351,5.359399068,5.048788607,5.144224793,3.529458073,3.194627553,3.292176405,4.672517409,5.277240899,5.247898767,7.775640402,11.17171927,22.6248916,19.43190545,16.21831529,15.88268892,14.74452044,12.96398878,20.25026214,27.49926132,33.0036882,49.0799833,36.77320802,25.43349701,22.21455845,19.59179577,20.27086351,22.13499951,20.20603321,,,
Benin,BEN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044623314,0.318934767,0.39552186,1.836709394,1.179724635,2.018223249,1.888783375,1.752920607,0.483596522,,,0.381055978,0.2960128,0.329285738,0.889113443,1.59518674,2.282728742,4.196416302,1.729223169,1.082143069,0.823998589,,,,
Bulgaria,BGR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020314486,0.022686454,0.032150839,0.095849374,0.387026628,0.99863352,0.042978641,0.031247585,0.499445254,1.002060865,0.553837579,1.764968461,2.636873096,5.473932889,15.27593885,2.416597719,0.938797087,0.745405189,0.560569293,0.671576443,1.577510141,,,,
Bahrain,BHR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.877385933,1.813840221,2.895837637,7.552129705,9.321002968,6.726918929,2.708181848,2.133417654,2.232106925,2.408435984,2.369855879,4.397908525,7.463474899,4.807731247,8.104040739,2.0327647,1.118333008,0.542558965,0.905386213,1.858046714,2.149892702,0.944680997,1.035416141,1.594576154
"Bahamas, The",BHS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.580696824,1.324483655,3.286931005,3.117465858,6.798151745,3.907800055,5.787283897,2.336669352,1.211505963,1.42640438,1.404028154,2.899729032,2.746712156,1.669414108,0.533723433,1.81933266,0.337430602,0.528393761,0.791214469,,,,
Bolivia,BOL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
